index,logic_type,logic_subtype,logic_type_code,Premise,Hypothesis,Label
652,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot drives a car, the car will normally be moving.. When the car is moving, if the robot stops driving the car, the car will normally stop.. Initially the car is not moving.. Initially the robot is not driving the car.","After the robot drives the car, waits, then stops driving the car, the car will stop",True
653,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot flies a plane, the plane will normally be in the air.. When the plane is in the air, if the robot stops flying the plane, the plane will normally start to fall.. Initially the plane is not in the air.. Initially the robot is not flying the plane.","After the robot flies the plane, waits, then stops flying the plane, the plane will start to fall",True
654,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot types on a keyboard, the keys will normally be pressed.. When the keys are pressed, if the robot stops typing, the keys will normally be released.. Initially the keys are not pressed.. Initially the robot is not typing.","After the robot types on the keyboard, waits, then stops typing, the keys will be released",True
655,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot prints a document, the document will normally be printed.. When the document is printed, if the robot stops printing, the document will normally be stopped from printing.. Initially the document is not printed.. Initially the robot is not printing.","After the robot prints the document, waits, then stops printing, the document will be stopped from printing",True
656,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot turns off a light, the light will normally be off.. When the light is off, if the robot moves away from the light, the light will normally stay off.. Initially the light is not off.. Initially the robot is not near the light.","After the robot turns off the light, waits, then moves away from the light, the light will stay off",True
657,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot closes a door, the door will normally be closed.. When the door is closed, if the robot moves through the door, the door will normally stay closed.. Initially the door is not closed.. Initially the robot is not near the door.","After the robot closes the door, waits, then moves through the door, the door will stay closed",True
658,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot puts out a fire, the fire will normally be extinguished.. When the fire is extinguished, if the robot moves away from the fire, the fire will normally stay extinguished.. Initially the fire is not extinguished.. Initially the robot is not near the fire.","After the robot puts out the fire, waits, then moves away from the fire, the fire will stay extinguished",True
659,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot turns on a computer, the computer will normally be turned on.. When the computer is turned on, if the robot stops interacting with the computer, the computer will normally stay turned on.. Initially the computer is not turned on.. Initially the robot is not interacting with the computer.","After the robot turns on the computer, waits, then stops interacting with the computer, the computer will stay turned on",True
660,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot turns off a computer, the computer will normally be turned off.. When the computer is turned off, if the robot stops interacting with the computer, the computer will normally stay turned off.. Initially the computer is not turned off.. Initially the robot is not interacting with the computer.","After the robot turns off the computer, waits, then stops interacting with the computer, the computer will stay turned off",True
661,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot logs into a computer, the computer will normally be logged in.. When the computer is logged in, if the robot stops interacting with the computer, the computer will normally stay logged in.. Initially the computer is not logged in.. Initially the robot is not interacting with the computer.","After the robot logs into the computer, waits, then stops interacting with the computer, the computer will stay logged in",True
662,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot logs out of a computer, the computer will normally be logged out.. When the computer is logged out, if the robot stops interacting with the computer, the computer will normally stay logged out.. Initially the computer is not logged out.. Initially the robot is not interacting with the computer.","After the robot logs out of the computer, waits, then stops interacting with the computer, the computer will stay logged out",True
663,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot sends an email, the email will normally be sent.. When the email is sent, if the robot stops interacting with the computer, the email will normally stay sent.. Initially the email is not sent.. Initially the robot is not interacting with the computer.","After the robot sends the email, waits, then stops interacting with the computer, the email will stay sent",True
664,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot opens a window, the window will normally be open.. When the window is open, if the robot moves away from the window, the window will normally stay open.. Initially the window is not open.. Initially the robot is not near the window.","After the robot opens the window, waits, then moves away from the window, the window will stay open",True
665,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When the robot closes a window, the window will normally be closed.. When the window is closed, if the robot moves away from the window, the window will normally stay closed.. Initially the window is not closed.. Initially the robot is not near the window.","After the robot closes the window, waits, then moves away from the window, the window will stay closed",True
666,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet dogs start barking, they are taken out for a walk.. When a dog is taken out for a walk, then, after the walk is over, the dog will normally stop barking.. Initially the dog is not barking.. Initially the dog is not being taken out on a walk.","After the dog starts barking, it is taken on a walk, and then stops barking at the end of the walk.",True
667,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet dogs start barking, they are taken out for a walk.. When a dog is taken out for a walk, then, after the walk is over, the dog will normally stop barking.. Initially the dog is not barking.. Initially the dog is not being taken out on a walk.","A dog is taken out on a walk, and then it starts barking,  and then it stops barking at the end of a walk.",Undetermined
668,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet cats start meowing, they are given food.. When a cat is given food, then, after it eats, the cat will normally stop meowing.. Initially the cat is not meowing.. Initially the cat is not being given food.","After the cat starts meowing, it is given food, and then it stops meowing.",True
669,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When horses start neighing, they are taken for a ride.. When a horse is taken for a ride, then, after the ride is over, the horse will normally stop neighing.. Initially the horse is not neighing.. Initially the horse is not being taken for a ride.","After the horse starts neighing, it is taken for a ride, and then it stops neighing at the end of the ride.",True
670,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet birds start chirping, they are given a treat.. When a bird is given a treat, then, after it eats the treat, the bird will normally stop chirping.. Initially the bird is not chirping.. Initially the bird is not being given a treat.","After the bird starts chirping, it is given a treat, and then it stops chirping.",True
671,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet dogs start barking, they are taken out for a walk.. When a dog is taken out for a walk, then, after the walk is over, the dog will normally stop barking.. Initially the dog is not barking.. Initially the dog is not being taken out on a walk.","A dog is taken out on a walk, and then it starts barking, and then it stops barking at the end of a walk.",Undetermined
672,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When kids start crying, they are given a toy.. When a kid is given a toy, then, after it plays with the toy, the kid will normally stop crying.. Initially the kid is not crying.. Initially the kid is not being given a toy.","After the kid starts crying, it is given a toy, and then it stops crying.",True
673,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When employees start working, they are given a break.. When an employee is given a break, then, after the break is over, the employee will normally stop working.. Initially the employee is not working.. Initially the employee is not being given a break.","After the employee starts working, it is given a break, and then it stops working.",True
674,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When students start studying, they are given a break.. When a student is given a break, then, after the break is over, the student will normally stop studying.. Initially the student is not studying.. Initially the student is not being given a break.","After the student starts studying, it is given a break, and then it stops studying.",True
675,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When parents start talking, their kids are given a break.. When a parent is talking, then, after the conversation is over, the kid will normally stop being given a break.. Initially the parent is not talking.. Initially the kid is not being given a break.","After the parent starts talking, the kid is given a break, and then the kid stops being given a break.",True
676,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When teachers start teaching, their students are given a break.. When a teacher is teaching, then, after the lesson is over, the student will normally stop being given a break.. Initially the teacher is not teaching.. Initially the student is not being given a break.","After the teacher starts teaching, the student is given a break, and then the student stops being given a break.",True
677,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When friends start talking, they are given a break.. When a friend is talking, then, after the conversation is over, the friend will normally stop being given a break.. Initially the friend is not talking.. Initially the friend is not being given a break.","After the friend starts talking, the friend is given a break, and then the friend stops being given a break.",True
678,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When politicians start talking, they are given a break.. When a politician is talking, then, after the conversation is over, the politician will normally stop being given a break.. Initially the politician is not talking.. Initially the politician is not being given a break.","After the politician starts talking, the politician is given a break, and then the politician stops being given a break.",True
679,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When salespeople start talking, they are given a break.. When a salesperson is talking, then, after the conversation is over, the salesperson will normally stop being given a break.. Initially the salesperson is not talking.. Initially the salesperson is not being given a break.","After the salesperson starts talking, the salesperson is given a break, and then the salesperson stops being given a break.",True
680,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When customers start talking, they are given a break.. When a customer is talking, then, after the conversation is over, the customer will normally stop being given a break.. Initially the customer is not talking.. Initially the customer is not being given a break.","After the customer starts talking, the customer is given a break, and then the customer stops being given a break.",True
681,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When athletes start practicing, they are given a break.. When an athlete is practicing, then, after the practice is over, the athlete will normally stop being given a break.. Initially the athlete is not practicing.. Initially the athlete is not being given a break.","After the athlete starts practicing, the athlete is given a break, and then the athlete stops being given a break.",True
682,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When managers start talking, their employees are given a break.. When a manager is talking, then, after the conversation is over, the employee will normally stop being given a break.. Initially the manager is not talking.. Initially the employee is not being given a break.","After the manager starts talking, the employee is given a break, and then the employee stops being given a break.",True
683,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When chefs start cooking, they are given a break.. When a chef is cooking, then, after the meal is over, the chef will normally stop being given a break.. Initially the chef is not cooking.. Initially the chef is not being given a break.","After the chef starts cooking, the chef is given a break, and then the chef stops being given a break.",True
684,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When actors start rehearsing, they are given a break.. When an actor is rehearsing, then, after the rehearsal is over, the actor will normally stop being given a break.. Initially the actor is not rehearsing.. Initially the actor is not being given a break.","After the actor starts rehearsing, the actor is given a break, and then the actor stops being given a break.",True
685,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When waiters start serving food, they are given a break.. When a waiter is serving food, then, after the meal is over, the waiter will normally stop being given a break.. Initially the waiter is not serving food.. Initially the waiter is not being given a break.","After the waiter starts serving food, the waiter is given a break, and then the waiter stops being given a break.",True
686,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When doctors start examining patients, they are given a break.. When a doctor is examining a patient, then, after the examination is over, the doctor will normally stop being given a break.. Initially the doctor is not examining a patient.. Initially the doctor is not being given a break.","After the doctor starts examining a patient, the doctor is given a break, and then the doctor stops being given a break.",True
687,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When cashiers start serving customers, they are given a break.. When a cashier is serving a customer, then, after the customer leaves, the cashier will normally stop being given a break.. Initially the cashier is not serving a customer.. Initially the cashier is not being given a break.","After the cashier starts serving a customer, the cashier is given a break, and then the cashier stops being given a break.",True
688,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet dogs start barking, they are taken out for a walk.. When a dog is taken out for a walk, then, after the walk is over, the dog will normally stop barking.. Initially the dog is not barking.. Initially the dog is not being taken out on a walk.","After the dog starts barking, it is taken on a walk, and then stops barking at the end of the walk.",True
689,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet dogs start barking, they are taken out for a walk.. When a dog is taken out for a walk, then, after the walk is over, the dog will normally stop barking.. Initially the dog is not barking.. Initially the dog is not being taken out on a walk.","A dog is taken out on a walk,  it is taken on a walk,  and then it does not stop barking at the end of a walk.",False
690,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet cats start meowing, they are taken out for a walk.. When a cat is taken out for a walk, then, after the walk is over, the cat will normally stop meowing.. Initially the cat is not meowing.. Initially the cat is not being taken out on a walk.","After the cat starts meowing, it is taken on a walk, and then stops meowing at the end of the walk.",True
691,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet birds start chirping, they are taken out for a walk.. When a bird is taken out for a walk, then, after the walk is over, the bird will normally stop chirping.. Initially the bird is not chirping.. Initially the bird is not being taken out on a walk.","After the bird starts chirping, it is taken on a walk, and then stops chirping at the end of the walk.",True
692,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet lizards start crawling, they are taken out for a walk.. When a lizard is taken out for a walk, then, after the walk is over, the lizard will normally stop crawling.. Initially the lizard is not crawling.. Initially the lizard is not being taken out on a walk.","After the lizard starts crawling, it is taken on a walk, and then stops crawling at the end of the walk.",True
693,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet snakes start slithering, they are taken out for a walk.. When a snake is taken out for a walk, then, after the walk is over, the snake will normally stop slithering.. Initially the snake is not slithering.. Initially the snake is not being taken out on a walk.","After the snake starts slithering, it is taken on a walk, and then stops slithering at the end of the walk.",True
694,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet dogs start barking, they are taken out for a walk.. When a dog is taken out for a walk, then, after the walk is over, the dog will normally stop barking.. Initially the dog is not barking.. Initially the dog is not being taken out on a walk.","After the dog starts barking, it is taken on a walk, and then stops barking at the end of the walk.",True
695,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet rabbits start hopping, they are taken out for a walk.. When a rabbit is taken out for a walk, then, after the walk is over, the rabbit will normally stop hopping.. Initially the rabbit is not hopping.. Initially the rabbit is not being taken out on a walk.","After the rabbit starts hopping, it is taken on a walk, and then stops hopping at the end of the walk.",True
696,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet hamsters start running, they are taken out for a walk.. When a hamster is taken out for a walk, then, after the walk is over, the hamster will normally stop running.. Initially the hamster is not running.. Initially the hamster is not being taken out on a walk.","After the hamster starts running, it is taken on a walk, and then stops running at the end of the walk.",True
697,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet horses start galloping, they are taken out for a walk.. When a horse is taken out for a walk, then, after the walk is over, the horse will normally stop galloping.. Initially the horse is not galloping.. Initially the horse is not being taken out on a walk.","After the horse starts galloping, it is taken on a walk, and then stops galloping at the end of the walk.",True
698,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet pigs start oinking, they are taken out for a walk.. When a pig is taken out for a walk, then, after the walk is over, the pig will normally stop oinking.. Initially the pig is not oinking.. Initially the pig is not being taken out on a walk.","After the pig starts oinking, it is taken on a walk, and then stops oinking at the end of the walk.",True
699,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet cows start mooing, they are taken out for a walk.. When a cow is taken out for a walk, then, after the walk is over, the cow will normally stop mooing.. Initially the cow is not mooing.. Initially the cow is not being taken out on a walk.","After the cow starts mooing, it is taken on a walk, and then stops mooing at the end of the walk.",True
700,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet goats start bleating, they are taken out for a walk.. When a goat is taken out for a walk, then, after the walk is over, the goat will normally stop bleating.. Initially the goat is not bleating.. Initially the goat is not being taken out on a walk.","After the goat starts bleating, it is taken on a walk, and then stops bleating at the end of the walk.",True
701,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet sheep start baaing, they are taken out for a walk.. When a sheep is taken out for a walk, then, after the walk is over, the sheep will normally stop baaing.. Initially the sheep is not baaing.. Initially the sheep is not being taken out on a walk.","After the sheep starts baaing, it is taken on a walk, and then stops baaing at the end of the walk.",True
702,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet chickens start clucking, they are taken out for a walk.. When a chicken is taken out for a walk, then, after the walk is over, the chicken will normally stop clucking.. Initially the chicken is not clucking.. Initially the chicken is not being taken out on a walk.","After the chicken starts clucking, it is taken on a walk, and then stops clucking at the end of the walk.",True
703,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet ducks start quacking, they are taken out for a walk.. When a duck is taken out for a walk, then, after the walk is over, the duck will normally stop quacking.. Initially the duck is not quacking.. Initially the duck is not being taken out on a walk.","After the duck starts quacking, it is taken on a walk, and then stops quacking at the end of the walk.",True
704,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet geese start honking, they are taken out for a walk.. When a goose is taken out for a walk, then, after the walk is over, the goose will normally stop honking.. Initially the goose is not honking.. Initially the goose is not being taken out on a walk.","After the goose starts honking, it is taken on a walk, and then stops honking at the end of the walk.",True
705,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet turkeys start gobbling, they are taken out for a walk.. When a turkey is taken out for a walk, then, after the walk is over, the turkey will normally stop gobbling.. Initially the turkey is not gobbling.. Initially the turkey is not being taken out on a walk.","After the turkey starts gobbling, it is taken on a walk, and then stops gobbling at the end of the walk.",True
706,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet frogs start croaking, they are taken out for a walk.. When a frog is taken out for a walk, then, after the walk is over, the frog will normally stop croaking.. Initially the frog is not croaking.. Initially the frog is not being taken out on a walk.","After the frog starts croaking, it is taken on a walk, and then stops croaking at the end of the walk.",True
707,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet toads start ribbiting, they are taken out for a walk.. When a toad is taken out for a walk, then, after the walk is over, the toad will normally stop ribbiting.. Initially the toad is not ribbiting.. Initially the toad is not being taken out on a walk.","After the toad starts ribbiting, it is taken on a walk, and then stops ribbiting at the end of the walk.",True
708,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet turtles start crawling, they are taken out for a walk.. When a turtle is taken out for a walk, then, after the walk is over, the turtle will normally stop crawling.. Initially the turtle is not crawling.. Initially the turtle is not being taken out on a walk.","After the turtle starts crawling, it is taken on a walk, and then stops crawling at the end of the walk.",True
709,Reasoning About Action,Temporal Projection,D2,"After an action is performed, things normally remain as they were.. When pet fish start swimming, they are taken out for a walk.. When a fish is taken out for a walk, then, after the walk is over, the fish will normally stop swimming.. Initially the fish is not swimming.. Initially the fish is not being taken out on a walk.","After the fish starts swimming, it is taken on a walk, and then stops swimming at the end of the walk.",True
710,Default Reasoning,Reasoning about unknown exceptions I,A6,"Car X and car Y are both fuel-efficient.. To be fuel-efficient, a car usually drives more than 20 miles per gallon.. Car Y did not drive more than 20 miles per gallon.",Car X did not drive more than 20 miles per gallon.,False
711,Default Reasoning,Reasoning about unknown exceptions I,A6,"People A, B, C are all employed.. To be employed, a person usually has to be at least 18 years old.. At least one of A, B is not 18 years old.",C is 18 years old.,True
712,Default Reasoning,Reasoning about unknown exceptions I,A6,"Patients A, B, C went to see Dr. Smith.. To see Dr. Smith, a patient usually has to make an appointment.. At least one of A, B did not make an appointment.",C did not make an appointment.,False
713,Default Reasoning,Reasoning about unknown exceptions I,A6,"People A, B, C are all employed.. To be employed, a person usually has to be at least 18 years old.. At least one of A, B is not 18 years old.",C is not 18 years old.,False
714,Default Reasoning,Reasoning about unknown exceptions I,A6,"Students A, B, C are all studying for their finals.. To study for their finals, students usually have to go to the library.. At least one of A, B did not go to the library.",D did not go to the library.,Undetermined
715,Default Reasoning,Reasoning about unknown exceptions I,A6,"Car X and car Y are both fuel-efficient.. To be fuel-efficient, a car usually drives more than 20 miles per gallon.. At least one of the cars X or Y did not reach the destination within 24 hours.",Exactly one of the cars A or B did not reach the destination within 24 hours.,Undetermined
716,Default Reasoning,Reasoning about unknown exceptions I,A6,"Products A, B, C are all popular.. To be popular, a product usually has to be high-quality.. At least one of A, B is not high-quality.",C is not low-quality.,Undetermined
717,Default Reasoning,Reasoning about unknown exceptions I,A6,"Companies A, B, C are all profitable.. To be profitable, a company usually has to be well-managed.. At least one of A, B is not well-managed.",C is well-managed.,True
718,Default Reasoning,Reasoning about unknown exceptions I,A6,"Schools A, B, C are all highly rated.. To be highly rated, a school usually has to be well-funded.. At least one of A, B is not well-funded.",C is not well-funded.,False
719,Default Reasoning,Reasoning about unknown exceptions I,A6,"Hospitals A, B, C are all highly rated.. To be highly rated, a hospital usually has to be well-funded.. At least one of A, B is not well-funded.",C is not well-established.,Undetermined
720,Default Reasoning,Reasoning about unknown exceptions I,A6,"Schools A, B, C are all highly rated.. To be highly rated, a school usually has to be well-funded.. At least one of A, B is not well-funded.",C is well-funded.,True
721,Default Reasoning,Reasoning about unknown exceptions I,A6,"Hospitals A, B, C are all highly rated.. To be highly rated, a hospital usually has to be well-funded.. At least one of A, B is not well-funded.",C is not low-funded.,Undetermined
722,Default Reasoning,Reasoning about unknown exceptions I,A6,"Companies X, Y, Z are all profitable.. To be profitable, a company usually has to be well-managed.. At least one of X, Y is not well-managed.",Company A is not profitable.,Undetermined
723,Default Reasoning,Reasoning about unknown exceptions I,A6,"Patients A, B, C are all in the hospital.. To be in the hospital, a patient usually has to be sick.. At least one of A, B is not sick.",C is sick.,True
724,Default Reasoning,Reasoning about unknown exceptions I,A6,"Teachers A, B, C are all in the school.. To be in the school, a teacher usually has to be qualified.. At least one of A, B is not qualified.",Teachers X is not qualified.,Undetermined
725,Default Reasoning,Reasoning about unknown exceptions I,A6,"Employees A, B, C are all in the company.. To be in the company, an employee usually has to be productive.. At least one of A, B is not productive.",C is not productive.,False
726,Default Reasoning,Reasoning about unknown exceptions I,A6,There are many types of cancer.. Cancer is a serious disease.. Some types of cancer are not serious.,At least one type of cancer is not serious.,True
727,Default Reasoning,Reasoning about unknown exceptions I,A6,Some students are good at math.. Some students are not good at math.. All students who are good at math are also good at science.,All students who are not good at math are also not good at science.,False
728,Default Reasoning,Reasoning about unknown exceptions I,A6,Most businesses want to make a profit.. Some businesses are not for profit.. All businesses that are for profit are also businesses that want to make a profit.,All businesses that are not for profit are also businesses that do not want to make a profit.,False
729,Default Reasoning,Reasoning about unknown exceptions I,A6,Most technologies require some form of energy to function.. Some technologies do not require any form of energy to function.. All technologies that require energy to function are also technologies that require some form of energy to function.,All technologies that do not require energy to function are also technologies that do not require any form of energy to function.,False
730,Default Reasoning,Reasoning about unknown exceptions I,A6,The patient has a sore throat and a headache.. The patient has a fever.. The patient has a cold.,More than one of the paitients do not have covid. ,True
731,Default Reasoning,Reasoning about unknown exceptions I,A6,"There are total 10 students in a class.. 4 students got ‘A’ grade, 3 students got ‘B’ grade and 2 students got ‘C’ grade.. 1 student got ‘D’ grade.",Hypothesis: The remaining 2 students got ‘E’ grade.,Undetermined
732,Default Reasoning,Reasoning about unknown exceptions I,A6,"Students A, B, C received good grades.. To receive good grades normally students are required to score above 90% in mid-term exam.. At least one of the A, B did not score above 90% in mid-term.","Therefore, C did score more than 90% in mid term.",True
733,Default Reasoning,Reasoning about unknown exceptions I,A6,A new drug has been developed to treat cancer.. The drug has been tested on animals and shown to be effective.. The drug has not yet been tested on humans.,The drug will be effective on humans.,Undetermined
734,Default Reasoning,Reasoning about unknown exceptions I,A6,The new treatment for Alzheimer's disease has been developed.. The treatment has been tested on animals and shown to be effective.. The treatment has not yet been tested on humans.,The treatment will not be effective on humans.,True
735,Default Reasoning,Reasoning about unknown exceptions I,A6,The new treatment for diabetes has been developed.. The treatment has been tested on animals and shown to be effective.. The treatment has not yet been tested on humans.,The treatment will not be effective on humans.,True
736,Default Reasoning,Reasoning about unknown exceptions I,A6,The new treatment for heart disease has been developed.. The treatment has been tested on animals and shown to be effective.. The treatment has not yet been tested on humans.,The treatment will be effective on humans.,Undetermined
737,Default Reasoning,Reasoning about unknown exceptions I,A6,The new treatment for obesity has been developed.. The treatment has been tested on animals and shown to be effective.. The treatment has not yet been tested on humans.,The treatment will not be effective on humans.,True
738,Default Reasoning,Reasoning about unknown exceptions I,A6,The new treatment for arthritis has been developed.. The treatment has been tested on animals and shown to be effective.. The treatment has not yet been tested on humans.,The treatment will be effective on humans.,Undetermined
739,Default Reasoning,Reasoning about unknown exceptions I,A6,"Students A, B, C received good grades.. To receive good grades normally students are required to score above 90% in mid-term exam.. At least one of the A, B did not score above 90% in mid-term.","Therefore, C did score more than 90% in mid term.",True
740,Default Reasoning,Reasoning about unknown exceptions I,A6,"There are total 10 students in a class.. 4 students got ‘A’ grade, 3 students got ‘B’ grade and 2 students got ‘C’ grade.. 1 student got ‘D’ grade.",5 students got ‘A’ grade.,False
741,Default Reasoning,Reasoning about unknown exceptions I,A6,A new drug has been developed to treat cancer.. The drug has been tested on animals and shown to be effective.. The drug has not yet been tested on humans.,The drug will be effective on cats.,Undetermined
742,Default Reasoning,Reasoning about unknown exceptions I,A6,Every natural number greater than 1 is either a prime number or can be written as the product of two prime numbers.. 24 is a natural number greater than 1.. 24 is not a prime number.,"Therefore, 24 can be written as the product of two prime numbers.",True
743,Default Reasoning,Reasoning about unknown exceptions I,A6,Some dogs are aggressive.. Some dogs are not aggressive.,All dogs are aggressive.,False
744,Default Reasoning,Reasoning about unknown exceptions I,A6,Some dogs are aggressive.. Some dogs are not aggressive.. All aggressive dogs are dangerous.,All dogs are dangerous.,False
745,Default Reasoning,Reasoning about unknown exceptions I,A6,All dogs are animals.. All animals are living things.,All dogs are living things.,True
746,Default Reasoning,Reasoning about unknown exceptions I,A6,All dogs are animals.. All animals are living things.. Some living things are not dogs. ,Some living things are not dogs.,True
747,Default Reasoning,Reasoning about unknown exceptions I,A6,All men are human.. All human are living things.. All living things are not men.,"Therefore, All living things are men.",False
748,Default Reasoning,Reasoning about unknown exceptions I,A6,All plants are living things.. All living things are not plants.,"Therefore, Some living things are not plants.",True
749,Default Reasoning,Reasoning about unknown exceptions I,A6,No animals are plants.. All plants are living things.. All living things are not animals.,"Therefore, Some living things are not animals.",True
750,Default Reasoning,Reasoning about unknown exceptions I,A6,John is a high school student.. John is not allowed to drive after 10 p.m.. John drove after 10 p.m.,"Therefore, John is not a high school student.",Undetermined
751,Default Reasoning,Reasoning about unknown exceptions I,A6,"If a person is older than 18 years old, then that person is allowed to vote.. John is not allowed to vote.","Therefore, John is not older than 18 years old.",True
752,Default Reasoning,Reasoning about unknown exceptions I,A6,"If a person is a high school student, then that person is not allowed to drive after 10 p.m.. John is a high school student.","Therefore, John is not allowed to drive after 10 p.m.",True
753,Default Reasoning,Reasoning about unknown exceptions I,A6,There are 5 green apples and 3 red apples in the basket.. A total of 8 apples are in the basket.,There are no yellow apples in the basket.,True
754,Default Reasoning,Reasoning about unknown exceptions I,A6,There are 5 green apples and 3 red apples in the basket.. A total of 11 apples are in the basket.,There are 3 yellow apples in the basket.,Undetermined
755,Default Reasoning,Reasoning about unknown exceptions I,A6,"In a certain town, 60% of the people are employed.. 30% of the employed people are engineers.","Therefore, 18% of the people in the town are engineers.",False
756,Default Reasoning,Reasoning about unknown exceptions I,A6,"In a certain town, 60% of the people are employed.. 30% of the employed people are engineers.","Therefore, at least 28% of the people in the town are engineers.",False
757,Default Reasoning,Reasoning about unknown exceptions I,A6,"In a certain town, 60% of the people are employed.. 30% of the employed people are engineers.","Therefore, 18% of the employed people in the town are engineers.",True
758,Default Reasoning,Reasoning about unknown exceptions I,A6,"In a certain town, 60% of the people are employed.. 30% of the employed people are engineers.","Therefore, at least 18% of the employed people in the town are engineers.",True
759,Default Reasoning,Reasoning about unknown exceptions I,A6,All right angles are equal.. Angle A is a right angle.,Angle A is equal to other right angles.,True
760,First Order Logic,Existential Instantiation,F3,All software engineering students must take a software development course.. John is a software engineering student.,"Therefore, John must take a software development course.",True
761,First Order Logic,Existential Instantiation,F3,All students must take an English course.. John is a student.,"Therefore, John must take an German course.",Undetermined
762,First Order Logic,Existential Instantiation,F3,Every business must have a website.. John's business does not have a website.,"Therefore, John's business is not legitimate.",True
763,First Order Logic,Existential Instantiation,F3,All software engineering students must take a ethics course.. John is not a software engineering student.,"Therefore, John does not have to take a software development course.",Undetermined
