,premise,hypothesis,gold,predict,error
197,A table is a piece of furniture.. A piece of furniture is an object that is used for a particular purpose.. This table was not made for a particular purpose.,This table was not made to be used as a piece of furniture.,1,0,1
198,"If all is well, then everything is fine.. Everything is not fine.",All is not well.,1,1,0
199,An umbrella is a device that is used to protect against rain.. This device was not used to protect against the rain.,This is not an umbrella.,1,1,0
200,Some foods are considered healthy.. Healthy foods are foods that are low in calories.. This food is not considered healthy.,This food is high in calories.,1,0,1
201,A potato is a type of vegetable.. Vegetables are healthy for you.,Potatoes are not healthy for you.,1,0,1
202,Headphones are a type of audio device.. This device was not designed to produce sound.,This device was not designed to be used as headphones.,2,0,1
203,Some electronic devices need an adapter to work in foreign countries.. My laptop is an electronic device.. Japan is a foreign country.,My laptop is a device that needs an adapter to work in Japan.,1,1,0
204,"Some integers are whole numbers.. If an integer is not negative, then the number is a whole number.. This integer is not negative.",This integer is a whole number.,1,1,0
205,"Some integers are whole numbers.. If an integer is not negative, then the number is a whole number.. This integer is negative.",This integer is not a whole number.,0,0,0
206,"Some politicians are liars.. If a person is a liar, then that person is not to be trusted.. This politician is a liar.",This politician is not to be trusted.,1,1,0
207,"Some people need to sleep in order to function properly.. If a person has slept, they will function properly.. This person has slept.",This person will not function properly.,0,0,0
208,Some electronic devices need a fan to cool them down.. An electronic device needs a fan to cool down if they get heated.. This electronic device gets heated.,This electronic device needs a fan to cool down.,1,1,0
209,Some food items are wrapped in wrappers.. Candy is a type of food.,Candy wrappers can be used to wrap food.,0,1,1
210,Milk is a type of liquid.. Some liquids are drinkable.,Milk is a drinkable liquid.,1,1,0
211,Paper is a type of material.. Some materials are flammable.,Paper is a flammable material.,1,1,0
212,Slippers are a type of footwear.. Some footwear is meant to be worn indoors.,Slipper are footwear that are meant to be worn indoors.,1,1,0
213,Scotch tape is a type of adhesive.. Some adhesives are used to attach two pieces of paper together.,Scotch tape can be used to attach two pieces of paper together.,1,1,0
214,Radios are a type of electronic device.. Some electronic devices use batteries.,Radios are electronic devices that use batteries.,1,1,0
215,Apples are a type of fruit.. Some fruits are red.,Apples are red fruits.,1,1,0
216,Broccoli is a type of vegetable.. Some vegetables can be eaten raw.,Broccoli is a vegetable that can be eaten raw.,1,1,0
217,Pillows are a type of bedding.. Some bedding is made of feathers.,Pillows are bedding that is made of feathers.,1,1,0
218,Coasters are a type of drinkware.. Some drinkware is used to protect surfaces from condensation.,Coasters are drinkware that is used to protect surfaces from condensation.,1,1,0
219,Mirrors are a type of reflective surface.. Some reflective surfaces are used to see oneself.,Mirrors are not reflective surfaces that are used to see oneself.,0,0,0
220,Rubber bands are a type of elastic.. Some elastics are used to hold things together.,Rubber bands are a non-elastic material.,0,0,0
221,Lip gloss is a type of cosmetic.. Some cosmetics are used to add color to the lips.,Lip gloss can be purchased in the store next to the medical shop.,2,2,0
222,Bookmarks are a type of reading accessory.. Some reading accessories are used to mark one's place in a book.,Bookmarks are made using cardboard material.,2,2,0
223,Glass is a type of material.. Some materials are transparent.,Glass is an opaque material.,0,1,1
224,"If John is taller than Karen, then he is taller than Lisa.. John is taller than Karen.",John is shorter than Lisa.,0,0,0
225,"If the light is green, then the car can move.. The light is green.",The car cannot move.,0,0,0
226,"If it is raining, the ground will be wet.. It is raining.",The ground will be dry.,0,1,1
227,"If the cat is sleeping, it will not be playing.. The cat is sleeping.",The cat will be dreaming.,2,2,0
228,"If she is not working on the weekends, she will spend time with her family.. She is not working on the weekends.",She will take a solo trip to the mountains.,0,2,1
229,"If the cat is sleeping, it will not be playing.. The cat is sleeping.",The cat will not be playing.,1,1,0
230,"If he has not finished his work, he will not leave the office.. He has not finished his work.",He will not leave the office.,1,1,0
231,"If she knows the answer, she will raise her hand.. She knows the answer.",She will not raise her hand.,0,0,0
232,"If the ball is not red, then it is not a tennis ball.. The ball is not red.",The ball is a tennis ball.,0,1,1
233,"If the wind is blowing, the flags will be waving.. The wind is blowing.",The flags will be waving.,1,1,0
234,"If the cake is chocolate, Eve will eat it.. The cake is chocolate.",Eve does not like the cake.,2,0,1
235,"If he has time, he will study for the test.. He has time.",He will browse Instagram while studying.,2,2,0
236,"If the sun is out, the sky is blue.. The sun is out.",The sky is yellow.,0,0,0
237,"If she is not happy, she will not smile.. She is not happy.",She will frown.,2,2,0
238,"If he runs every day, he will be in shape.. He runs every day.",He will be in shape.,1,1,0
239,"If it is cold outside, the snow will fall.. It is cold outside.",The temperature is below 20 degrees.,2,2,0
240,"If she is tired, she will sleep.. She is tired.",She will stay awake.,0,0,0
241,"If he works hard, he will get promoted.. He works hard.",He will not get promoted.,0,0,0
242,"If she is sad, she will cry.. She is sad.",She goes to the doctor for therapy.,2,2,0
243,"If he wants to pass the class, he will have to study.. He wants to pass the class.",He will have to study.,1,1,0
244,"If the light is red, the car must stop.. The light is red.",The car will not stop.,0,0,0
245,"If the dog is barking, there is someone at the door.. The dog is barking.",The dog suspects the presence of a spiritual entity.,2,2,0
246,"If there is a fire, the alarm will sound.. There is a fire.",The alarm light will be on.,2,1,1
247,"If the phone rings, someone is calling.. The phone is ringing.",I will not pick up the call.,2,0,1
248,"If the TV is on, someone is watching it.. The TV is on.",No one is watching it.,0,0,0
249,"If the sun is out, it is daytime.. The sun is out.",It is daytime.,1,1,0
250,"If it is nighttime, the sun is not out.. It is nighttime.",The sun is out.,0,0,0
251,"If the moon is out, it is nighttime.. The moon is out.",It is nighttime.,1,1,0
252,"If it is daytime, the moon is not out.. It is daytime.",The moon is not out.,1,1,0
253,"If there are clouds in the sky, it might rain.. There are clouds in the sky.",It might rain.,1,1,0
254,"If there are stars in the sky, it is nighttime.. There are stars in the sky.",It is nighttime.,1,1,0
255,"If Venus is visible, it is daytime.. Venus is visible.",It is daytime.,1,1,0
256,"If it is nighttime, Venus is not visible.. It is nighttime.",Venus is not visible.,1,1,0
257,"If there is a thunderstorm, it is raining.. There is a thunderstorm.",It is raining.,1,1,0
258,"If there is a rainbow, it is raining.. There is a rainbow.",It is raining.,1,1,0
259,"If the temperature is below freezing, the water is frozen.. The temperature is below freezing.",The water is not frozen.,0,0,0
260,"If the patient has a fever, the patient has the flu.. The patient has a fever.",The patient has a broken bone.,2,2,0
261,"If the patient has lice, the patient needs to wear hair clips.. The patient has lice.",The patient need not to wear hair clips.,0,0,0
262,"If the document is a .doc file, it was created in Microsoft Word.. The document is a .doc file.",The document was created in Microsoft Word.,1,1,0
263,"If the animal is a dog, the animal is a mammal.. The animal is a dog.",The animal is a mammal.,1,1,0
264,"If it is November, the leaves are falling.. It is November.",The leaves are yellow in colour.,2,1,1
265,"If it is Spring, the flowers are blooming.. It is Spring.",The flowers are blooming.,1,1,0
266,"If the place has an ocean, the place is a beach.. The place has an ocean.",The place is a beach.,1,1,0
267,"If the activity is enjoyable, the person will do it again.. The activity is enjoyable.",The person will do it again.,1,1,0
268,"If the person does not enjoy the activity, the person will not do it again.. The person does not enjoy the activity.",The person will not do it again.,1,1,0
269,"If the pendulum has moved 60 times, then a minute has passed.. The pendulum moved for 60 times.",A minute has passed.,1,1,0
270,"If the object is too small to see with the naked eye, it can be seen with a microscope.. The object is too small to see with the naked eye.",The object can be seen with a microscope.,1,1,0
271,"If the person has a facebook account, the person is active on social media.. The person has a facebook account.",The person is active on social media.,1,1,0
272,"If the water has a filter, the water is clean.. The water has a filter.",The water is clean.,1,1,0
273,"If the person uses toothpaste, the person is brushing their teeth.. The person uses toothpaste.",The person is brushing their teeth.,1,1,0
274,"If I buy a new car, I will sell my old one.. If I don't sell my old car, I will give it to my brother.. Either I buy a new car or I don't sell my old car.","Therefore, either I sell my old car or I give it to my brother.",1,1,0
275,"If I take the bus, then I will be late for my appointment.. If I have breakfast, then I will skip lunch.. Either I take the bus or I have breakfast.","Therefore, either I will be early for my appointment or I will not skip lunch.",0,0,0
276,"If the meeting is cancelled, then I will go home early.. If I work longer today, I will have dinner in the office.. Either the meeting is cancelled or I work longer today.","Therefore, either I will go home early or I will have dinner in the office.",1,1,0
277,"If I jump the fence, I will be trespassing.. If I go through the gate, I will have to pay a fee.. Either I jump the fence or I go through the gate.","Therefore, either I will not be trespassing or I will have to pay a fee.",0,0,0
278,"If I drink all the water in the bottle, then I will be thirsty.. If I don't drink any water, then I will be dehydrated.. Either I drink all the water in the bottle or I don't drink any water.","Therefore, either I will be thirsty or I will be dehydrated.",1,1,0
279,"If I use headphones, then I can't hear anything else.. If I don't use headphones, then I can hear everything else.. Either I use headphones or I don't use headphones.",I will buy a new pair of headphones.,2,0,1
280,"If I talk, then I will make noise.. If I run, then I will be tired.. Either I talk or I run.",I will not make noise and I will not be tired.,0,2,1
281,"If I take the bus, then I will get there faster.. If I walk, then I will get there slower.. Either I take the bus or I walk.","Therefore, either I will get there faster or I will get there slower.",1,1,0
282,"If I do an experiment, then I will get results.. If I understand the theory, then I can teach it to others.. Either I do an experiment or I understand the theory.",I gave the students an assignment to read the paper by tomorrow.,2,0,1
283,"If I look through the telescope, then I will see the stars.. If I look at the sky, then I will see the clouds.. Either I look through the telescope or I look at the sky.","Therefore, either I will not see the stars or I will see the clouds.",0,0,0
284,"If I study the past, then I can learn from it.. If I don't study the past, then I will repeat its mistakes.. Either I study the past or I don't study the past.","Therefore, either I can learn from the past or I will repeat its mistakes.",1,1,0
285,"If I study the map, then I will know where I am going.. If I don't study the map, then I will get lost.. Either I study the map or I don't study the map.",I will get lost.,0,0,0
286,"If I mix the two fundamental elements, then I will create a new substance.. If I add this element to water, then I won't create a new substance.. Either I mix the two fundamental elements or I add this element to water.","Therefore, either I will create a new substance or I won't create a new substance.",1,1,0
287,"If I study hard, I will get good grades.. If I work hard, I will get promotion.. Either I study hard or I work hard.",I will get an 8% hike in my remuneration.,2,0,1
288,"If I plant a tree, it will grow.. If I adopt a pet, it will get a shelter.. Either I plant a tree or I adopt a pet.","Therefore, either the plant will grow or the pet will get a shelter.",1,1,0
289,"If I go to the coast, I will see the ocean.. If I go to the forest, I will see the trees.. I will either go to the coast or the forest.",I will not see the ocean and I will not see the trees.,0,2,1
290,"If I watch the sunset, I will see the sun going down.. If I watch the sunrise, I will see the sun coming up.. I will either watch the sunset or the sunrise.",I will spend the night in a tent at the mountain peak.,2,2,0
291,"If I do not drink alcohol, I can drive.. If I drive after drinking alcohol, I will get arrested.. I will either not drink alcohol or drive after drinking alcohol.","Therefore, either I can drive or I will get arrested.",1,1,0
292,"If I eat a waffle, I will be full.. If I drink milk, I will get hungry after an hour.. I will either eat a waffle or drink milk.","Therefore, I will either not be full or get hungry after an hour.",0,0,0
293,"If I eat fish, I will get omega-3 fatty acids.. If I don't eat fish, I will not get the required proteins.. I will either eat fish or not eat fish.",I will get the required proteins by drinking milk.,2,2,0
294,"If I go to the temple, I will pray.. If I go to the pub, I will party.. I will either go to the temple or go to the pub.","Therefore, I will either pray or party.",1,1,0
295,"If I cook, I will eat.. If I don't cook, I will order food.. I will either cook or not cook.",I will cook food and order food.,0,2,1
296,"If I dominate, I will be in control.. If I am not in control, I will be dominated.. I will either dominate or not be in control.",I will be in control,0,0,0
297,"If I wear lip gloss, my lips will be shiny.. If I don't wear lip gloss, my lips will be matte.. I will either wear lip gloss or not wear lip gloss.","Therefore, my lips will either be shiny or matte.",1,1,0
298,"If I use conditioner, my hair will be soft.. If I use a shampoo, my hair will be frizzy.. I will either use conditioner or use shampoo.",I will dye my hair with colour.,2,2,0
299,"If I put food in the refrigerator, it will stay fresh.. If I don't put food in the refrigerator, it will go bad.. I will either put food in the refrigerator or not put food in the refrigerator.",I forget that I put the food in the refrigerator.,2,0,1
300,"If I use a clamp, I can hold onto things.. If I don't use a clamp, I will drop things.. I will either use a clamp or not use a clamp.","Therefore, I will either hold onto things or drop things.",1,1,0
301,"If I use a drill press, I can make a hole easily.. If I don't use a drill press, I have to use a hammer.. I will either use a drill press or not use a drill press.",I will neither make a hole easily nor use a hammer.,0,0,0
302,"If it is spring, the weather will be nice.. If it is not spring, the weather will be cold.. It will either be spring or not spring.","Therefore, the weather will either be nice or cold.",1,1,0
303,"If I have a tissue box, I can get tissues.. If I don't have a tissue box, I will purchase two boxes.. I will either have a tissue box or not have a tissue box.","Therefore, I will either be able to get tissues or purchase two tissue boxes.",1,1,0
304,"If I pluck flowers in time, they will smell nicely.. If I don't pluck flowers in time, they will lose all their beauty.. I will either pluck flowers in time or not pluck flowers in time.","Therefore, flowers will either smell nicely or lose all their beauty.",1,1,0
305,"If I have a purse, I can carry things in it.. If I don't have a purse, I will have to carry things in my hands.. I will either have a purse or not have a purse.","Therefore, I will either be able to carry things in a purse or in my hands.",1,1,0
306,"If I send a greeting card, the recipient will be pleased.. If I don't send a greeting card, I will not be invited for the next event.. I will either send a greeting card or not send a greeting card.","Therefore, the recipient will be pleased and I will not be invited to the next event.",0,2,1
307,"If I use a thermometer, I can measure the temperature.. If I use an odometer, I can measure the distance.. I will either use a thermometer or use an odometer.","Therefore, I will either measure the temperature or measure the distance.",1,1,0
308,"If I close the door, the noise will be less.. If I don't close the door, I will feel cold.. I will either close the door or not close the door.","Therefore, the noise will either be less or I will feel cold.",1,1,0
309,"If I buy a sofa, I will have a place to sit.. If I buy a TV, I will have entertainment.. I will either buy a sofa or buy a TV.",I will run out of tissue paper.,2,2,0
310,"If I find a rubber band, I will use it to hold things together.. If I don't have a rubber band, I will have to use tape.. I will either find a rubber band or not have a rubber band.","Therefore, I will use a rubber band to hold things together or use tape.",1,1,0
311,"If I have a clay pot, I can plant a seed in it.. If I don't have a clay pot, I will buy one.. I will either have a clay pot or not have a clay pot.","Therefore, I buy a clay pot and plant a seed.",0,1,1
312,"If I use soap, I will be clean.. If I apply powder, I will smell nice.. I will either use soap or apply powder.","Therefore, I will either be clean or smell nice.",1,1,0
313,"If I use a fork, I can eat noodles.. If I use a spoon, I can drink soup.. I will use either a fork or a spoon.","Therefore, I will be able to eat noodles or not drink soup .",0,0,0
314,"If I have thread, I can sew.. If I don't have thread, I will outsource the job to a tailor.. I will either have thread or not have thread.","Therefore, I will either be able to sew or outsource the job to a tailor.",1,1,0
315,"If I use a credit card, I can buy things now and pay later.. If I don't use a credit card, I will have to save up money to buy things.. I will either use a credit card or not use a credit card.","Therefore, I will either not be able to buy things now and pay later or save up money to buy things.",0,0,0
316,"If I draw a picture, I can give it to my mom.. If I don't draw a picture, I will have to buy her a present.. I will either draw a picture or not draw a picture.","Therefore, I will either be able to give my mom a present or have to buy her a present.",1,1,0
317,"If I have a camera, I can take pictures.. If I have an MP3 player, I will listen to songs.. I will either have a camera or an MP3 player.","Therefore, I will either be able to take pictures or not listen to music.",0,0,0
318,"If I buy a canvas, I can paint a picture.. If I buy a pair of shoes, I can go cycling.. I will either buy a canvas or a pair of shoes.","Therefore, I will be able to paint a picture or go cycling.",1,1,0
319,"If I want to watch a sailboat race, I will buy the tickets.. If I want to watch a basketball game, I will watch it on the television.. I will watch either a sailboat race or a basketball game.","Therefore, I will buy the tickets to the sailboat race or watch the basketball game on television.",1,1,0
320,"If I want to pick up a paperclip, I will use a magnet.. If I want to walk to the store, I will use the sidewalk.. Therefore, I will pick up the paperclip or walk to the store.",I will either use a magnet or the sidewalk.,1,1,0
321,"If I want to sleep, I will use a pillow.. If I want to float, I will use a board.. Therefore, I will either sleep or float.",I cannot sleep as I have insomnia.,2,2,0
322,"If I want to know the time, I will look at a clock.. If I want to know how much money I have, I will look in my wallet.. Therefore, I will either look at a clock or look in my wallet.",I will check my mobile phone to see if I have money in my account.,2,2,0
323,"If I want to add soy sauce to my rice, I will use a packet.. If I want to make ice cubes, I will use a tray.. Therefore, I will either add soy sauce to my rice or make ice cubes.",I will either use a packet or a tray.,1,1,0
324,"After an action is performed, things normally remain as they were.. Gary must choose between his car or his bike to go to his office.. Gary is employed.. Gary ends up going in the office shuttle bus.",The office must have shuttle bus facility which Gary wasn't aware of when he was employed.,1,1,0
325,"After an action is performed, things normally remain as they were.. Gary must choose between his car or his bike to go to his office.. Gary is employed.",The office must have shuttle bus facility which Gary wasn't aware of when he was employed.,2,2,0
326,"After an action is performed, things normally remain as they were.. When a person has completed a TV show, they will want to watch one of two other TV shows.. The person ends up watching neither show.",The person must have not had the time to watch either show after completing their current show.,1,0,1
327,"After an action is performed, things normally remain as they were.. When a person has completed a TV show, they will want to watch one of two other TV shows.. The person ends up watching neither show.",The person must have selected an entirely different show to watch.,0,0,0
328,"After an action is performed, things normally remain as they were.. When ICC is deciding the location to host the world cup, they will usually pick between England and Australia.. ICC ends up choosing India.",ICC must have realized that India is the better option to host the world cup as it was expected to rain in both England and Australia.,2,1,1
329,"After an action is performed, things normally remain as they were.. When ICC is deciding the location to host the world cup, they will usually pick between England and Australia.. ICC ends up choosing India.. India is a very rich country.",ICC must have realized that India is the better option to host the world cup as it was expected to rain in both England and Australia.,1,1,0
330,"After an action is performed, things normally remain as they were.. When the film committee is deciding which film to send for Oscar's nominations, they will usually pick between Gully Boy and PS-I.. The film committee ends up sending Kantara.","When reviewing different films, the committee must have opted for Dangal due to the aspect of innovation.",0,2,1
331,"After an action is performed, things normally remain as they were.. When the film committee is deciding which film to send for Oscar's nominations, they will usually pick between Gully Boy and PS-I.. The film committee ends up sending Kantara.. Kantara is a very innovative movie.","When reviewing different films, the committee must have opted for Kantara due to the aspect of innovation.",1,1,0
332,"After an action is performed, things normally remain as they were.. When Shawn is deciding which match to go to, he will usually pick between the tennis match and the rugby match.. Shawn ends up going to the cricket match.",Shawn must have made the decision to watch the cricket match when he went to buy tickets for either the tennis match or the rugby match.,1,1,0
333,Bhaskar is composing music with a lot of instruments.. Bhaskar has used a piano and guitar for making some sections of music.,Bhaskar is using electric guitar for composing his music.,0,2,1
334,Dan is cooking food for two persons.. Carter and Blake are having lunch.,It is not known if Dan is cooking for Blake.,1,0,1
335,Danny is driving a vehicle.. Aaron is in a vehicle.,It is not known if Danny and Aaron are in the same vehicle.,1,0,1
336,Tom is taller than Jerry.. Jerry is shorter than Tim.,It is not known if Tom is shorter than Tim.,1,0,1
337,Harsh is good at cooking.. Harsh made pasta for lunch.,It is not known if Harsh used olive oil for making pasta.,1,0,1
338,John is taller than Jerry.. Jerry is shorter than Tim.,It is not known if John is shorter than Tim.,1,0,1
339,Mia is a good singer.. Mia is not participating in the singing competition.,It is not known if Mia will win the singing competition.,1,0,1
340,Jason and Blake are names of my dogs.. Most dogs have four legs.,It is not known if Blake has four legs.,1,1,0
341,John is taller than Jerry.. Jerry is shorter than Tim.,It is not known if John is taller than Tim.,0,0,0
342,Mia is a good singer.. Mia is participating in the singing competition.,It is not known if Mia will lose the singing competition.,1,0,1
343,Tom is taller than Jerry.. Jerry is shorter than Tim.,It is not known if Tom is taller than John.,1,2,1
344,Harsh is good at cooking.. Harsh made pasta for lunch.,It is not known if Harsh used tomato sauce for making pasta.,1,0,1
345,John is taller than Jerry.. Jerry is shorter than Tim.,It is not known if Tim is shorter than John.,0,0,0
346,Mia is a good singer.. Mia is participating in the singing competition.,It is not known if Mia will sing well in the competition.,0,0,0
347,Tom is taller than Jerry.. Jerry is shorter than Tim.,It is not known if Tim is taller than Tom.,0,0,0
348,Harsh is good at cooking.. Harsh made pasta for lunch.,It is not known if Harsh followed the recipe while making pasta.,1,0,1
349,Mary is taller than Erin.. Emma is shorter than Mary.,Erin is shorter than Emma.,1,1,0
350,John has a black car.. Most cars have four tires.,It is not known if John's car has four tires.,1,0,1
351,Daniel is a doctor.. Doctors help people.,It is not known if Daniel helps people.,1,0,1
352,Most birds can fly.. Penguins are birds.,It is not known if penguins can fly.,1,0,1
353,I am a student.. Students generally go to school.,It is not known if I go to school.,1,0,1
354,Everyone in my family is tall.. I am a part of my family.,I am tall.,1,1,0
355,The sun is a star.. Most stars are bigger than the Earth.,It is not known if the sun is bigger than the Earth.,1,0,1
356,John is taller than Erin.. Erin is shorter than Emma.,John is taller than Emma.,1,1,0
357,Cats like to drink milk.. Most animals like to drink water.,It is not known if cats like to drink water.,1,0,1
358,Most Dogs are loyal.. John has a dog.,John's dog is loyal.,0,1,1
359,Cats like to drink milk.. Dogs like to drink milk.,It is not known if dogs like to drink water.,1,0,1
360,Dogs are loyal.. Some pets are animals.. All pets are loyal,Some animals are loyal.,1,1,0
361,Most people like to eat.. Cats do not like to eat.,It is not known if cats are people.,1,0,1
362,Cats like to drink milk.. Most animals like to drink water.,Cats like to drink water.,0,1,1
363,Most people like to eat.. Most animals like to eat.,It is not known if people are animals.,1,0,1
364,John and Tim are going to the same restaurant.. Tim does not like Chinese food.,John does not like Chinese food.,0,1,1
365,John and Tim are going to the same restaurant.. John likes Chinese food.,It is not known if Tim likes Chinese food.,1,0,1
366,Sasha is playing a video game.. Sasha is not playing Call of Duty.,Sasha is playing a different video game.,1,0,1
367,John is going to the movies.. John is not going to see a horror movie.,John is going to see a different movie.,1,0,1
368,The teacher is grading papers.. The teacher is not grading math papers.,The teacher is grading different papers.,1,2,1
369,The cat is sleeping on the bed.. The cat is not sleeping on the pillow.,The cat is sleeping on a different part of the bed.,1,2,1
370,The man has a beard.. The man does not have a mustache.,The man has facial hair.,1,1,0
371,The child is crying.. The child is not hungry.,The child is crying for a different reason.,1,0,1
372,The poet is writing a new poem.. The poet is not writing about love.,The poet is writing about a different topic.,1,0,1
373,Most dogs have four legs.. The animal in the video only has three legs.,The animal in the video is not a dog.,1,0,1
374,The moon is bright tonight.. The moon is not bright during the day.,It is not daytime.,1,2,1
375,Spiders have eight legs.. The creature in the corner is not a spider.,The creature in the corner does not have eight legs.,1,1,0
376,Mammals are warm-blooded.. Dogs are mammals.,Dogs are warm-blooded.,1,1,0
377,Roses have thorns.. The flower in my hand is not a rose.,The flower in my hand does not have thorns.,1,1,0
378,The sun is out now.. The sun is not out at night.,It is daytime.,1,2,1
379,There is a lot of traffic today.. Traffic is light during the weekends.,It is not the weekend.,1,1,0
380,Most mammals have fur.. Dogs are mammals.,All dogs have fur.,0,1,1
381,All guns that are a long range rifles will use 75mm bullets.. KAR-98 is a rifle type gun,The KAR-98 rifle uses 75mm bullets.,1,1,0
382,All felines under 100 pounds can be domesticated.. Cats are felines.,Cats are felines under 100 pounds and are domesticated.,1,1,0
383,All Apple handsets are always deisgned in Palo Alto California.. Apple handsets do not have an earphone jack.. iPhone 14 is an Apple handset.,The iPhone 14 handset is designed in Palo Alto California and does not have a earphone jack.,1,1,0
384,All dogs have four legs.. Lassie is a dog.,Lassie has four legs.,1,1,0
385,All animals that live in the water have gills.. Sharks are animals.,Sharks live in the water and have gills.,1,1,0
386,All planets in our solar system have moons.. Venus is a planet.,Venus has moons.,1,1,0
387,All birds can fly.. Ostriches are birds.,Ostriches can fly.,0,1,1
388,All fish live in water.. Piranhas are fish.,Piranhas live in water.,1,1,0
389,All leaves are green.. Lettuce is a leaf.,Lettuce is a green leaf.,1,1,0
390,All planets orbit around a star.. Mercury is a planet.,Mercury orbits around a star.,1,1,0
391,All birds have wings.. Owls are birds.,Owls have wings.,1,1,0
392,All dogs are animals.. Dalmatians are dogs.,Dalmatians are animals.,1,1,0
393,All cats are animals.. Siamese are cats.,Siamese are animals.,1,1,0
394,All dogs like to play fetch.. Dalmatians are dogs.,Dalmatians like to play fetch.,1,1,0
395,All dogs need to be trained.. Dalmatians are dogs.,Dalmatians need to be trained.,1,1,0
396,All dogs like to eat bones.. Rover is a dog.,Rover likes to eat bones.,1,1,0
397,All cars with four-wheel drive can go off-road.. The Toyota's RAV4 is a car.,The Toyota's RAV4 can go off-road.,1,1,0
398,All animals that have fur can survive in cold climates.. Polar bears are animals.,Polar bears can survive in cold climates.,1,1,0
399,All countries in NATO are democracies.. The United States is a country.,The United States is a democracy.,1,1,0
400,All members of the House of Representatives are elected officials.. Nancy Pelosi is a member of the House of Representatives.,Nancy Pelosi is an elected official.,1,1,0
401,All living things need water to survive.. Plants are living things.,Plants need water to survive.,1,1,0
402,All birds have wings.. Ostriches are birds.,Ostriches have wings.,1,1,0
403,All mammals have fur.. Dogs are mammals.,Dogs have fur.,1,1,0
404,All planets in our solar system orbit the sun.. Mercury is a planet.,Mercury orbits the sun.,1,1,0
405,All insects have six legs.. Spiders are not insects.,Spiders do not have six legs.,1,0,1
406,All plants need sunlight to grow.. Sunflowers are plants.,Sunflowers need sunlight to grow.,1,1,0
407,All liquids are made up of atoms.. Water is a liquid.,Water is made up of atoms.,1,1,0
408,All stars are larger than planets.. The sun is a star.,The sun is larger than planets.,1,1,0
409,All galaxies are made up of stars.. The Milky Way is a galaxy.,The Milky Way is made up of stars.,1,1,0
410,All elements are made up of atoms.. Oxygen is an element.,Oxygen is made up of atoms.,1,1,0
411,All gases are made up of molecules.. Oxygen is a gas.,Oxygen is made up of molecules.,1,1,0
412,All solids are made up of atoms.. Diamonds are solids.,Diamonds are made up of atoms.,1,1,0
413,All American citizens are allowed to vote.. John is an American citizen.,John is an American citizen who is allowed to vote.,1,1,0
414,All members of the Republican party are conservative.. John is a member of the Republican party.,John is a member of the Republican party and is conservative.,1,1,0
415,All members of the Democratic party are liberal.. John is a member of the Democratic party.,John is a member of the Democratic party and is liberal.,1,1,0
416,All countries in NATO are in Europe.. The United States is in NATO.,The United States is in NATO and is in Europe.,1,1,0
417,All mammals have live births.. Bats are mammals.,Bats have live births.,1,1,0
418,All birds have wings.. Crows are birds.,Crows have wings.,1,1,0
419,All cats have fur.. Siamese cats are cats.,Siamese cats have fur.,1,1,0
420,All plants are living things.. Trees are plants.,Trees are living things.,1,1,0
421,All living things need oxygen to live.. Humans are living things.,Humans need oxygen to live.,1,1,0
422,All animals have a brain.. Dogs are animals.,Dogs have a brain.,1,1,0
423,All animals need food to live.. Bears are animals.,Bears need food to live.,1,1,0
424,All animals need water to live.. Dolphins are animals.,Dolphins need water to live.,1,1,0
425,All animals breathe air.. Ostriches are animals.,Ostriches breathe air.,1,1,0
426,All dogs have tails.. Siberian Huskies are dogs.,Siberian Huskies have tails.,1,1,0
427,All birds are animals with wings.. Penguins are animals.,Penguins have wings.,0,1,1
428,All countries in NATO are in Europe.. Turkey is a country in NATO.,Turkey is a country in Europe.,1,1,0
429,All clouds are white.. Cirrus clouds are clouds.,Cirrus clouds are white.,1,1,0
430,All oceans have fish.. The Pacific ocean is an ocean.,The Pacific Ocean has fish.,1,1,0
431,All leaves are green.. Trees have leaves.,Trees have green leaves.,1,1,0
432,A is taller than B.,It is not known if A is the tallest.,1,0,1
433,The cat is on the mat.,It is not known if the cat is off the mat.,1,0,1
434,All dogs are animals.,It is not known if all animals are dogs.,1,0,1
435,Socrates is a man.,It is not known if Socrates is a woman.,1,0,1
436,The moon orbits around the Earth.,It is not known if the Earth orbits around the moon.,1,0,1
437,The sun is a star.,It is not known if the sun is a planet.,1,0,1
438,Roses are red.,It is not known if roses are blue.,1,0,1
439,The sky is blue.,It is not known if the sky is green.,1,0,1
440,All men are mortal.,It is not known if all mortals are men.,1,0,1
441,The Earth is round.,It is not known if the Earth is flat.,1,0,1
442,2 + 2 = 4,It is not known if 2 + 2 = 5.,1,0,1
443,The United States is a democracy.,It is not known if the United States is a republic.,1,0,1
444,Water is necessary for life.,It is not known if air is necessary for life.,1,0,1
445,The square root of 9 is 3.,It is not known if the square root of 4 is 3.,1,2,1
446,Gold is a metal.,It is not known if gold is an element.,1,0,1
447,The sun is hot.,It is not known if the sun is cold.,1,0,1
448,The sky is cloudy.,It is not known if the sky is clear.,1,0,1
449,The Earth is a planet.,It is not known if the Earth is a star.,1,0,1
450,The Earth is the third planet from the sun.,It is not known if the Earth is the fourth planet from the sun.,1,0,1
451,Venus is the second planet from the sun.,It is not known if Venus is the third planet from the sun.,1,0,1
452,Mercury is the closest planet to the sun.,It is not known if Mercury is the farthest planet from the sun.,1,0,1
453,Mars is the fourth planet from the sun.,It is not known if Mars is the fifth planet from the sun.,0,0,0
